Datum,Jahr,Monat,Core_Typ,Fahrzeugmodell,Komponente,Menge_Cores,Menge_Wiederverwendbar,Wiederverwendbarkeit_%
2019-12-15,2019,12,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2019-12-15,2019,12,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2019-12-15,2019,12,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2019-12-15,2019,12,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2019-12-15,2019,12,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2019-12-22,2019,12,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2019-12-22,2019,12,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2019-12-22,2019,12,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2019-12-22,2019,12,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2019-12-22,2019,12,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-01-01,2020,1,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-01-01,2020,1,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-01-01,2020,1,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-01-01,2020,1,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-01-01,2020,1,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-01-08,2020,1,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-01-08,2020,1,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-01-08,2020,1,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-01-08,2020,1,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-01-08,2020,1,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-01-15,2020,1,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-01-15,2020,1,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-01-15,2020,1,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-01-15,2020,1,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-01-15,2020,1,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-01-22,2020,1,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-01-22,2020,1,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-01-22,2020,1,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-01-22,2020,1,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-01-22,2020,1,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-02-01,2020,2,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-02-01,2020,2,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-02-01,2020,2,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-02-01,2020,2,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-02-01,2020,2,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-02-08,2020,2,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-02-08,2020,2,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-02-08,2020,2,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-02-08,2020,2,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-02-08,2020,2,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-02-15,2020,2,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-02-15,2020,2,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-02-15,2020,2,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-02-15,2020,2,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-02-15,2020,2,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-02-22,2020,2,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-02-22,2020,2,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-02-22,2020,2,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-02-22,2020,2,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-02-22,2020,2,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-03-01,2020,3,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-03-01,2020,3,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-03-01,2020,3,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-03-01,2020,3,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-03-01,2020,3,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-03-08,2020,3,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-03-08,2020,3,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-03-08,2020,3,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-03-08,2020,3,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-03-08,2020,3,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-03-15,2020,3,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-03-15,2020,3,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-03-15,2020,3,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-03-15,2020,3,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-03-15,2020,3,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-03-22,2020,3,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-03-22,2020,3,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-03-22,2020,3,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-03-22,2020,3,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-03-22,2020,3,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-04-01,2020,4,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-04-01,2020,4,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-04-01,2020,4,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-04-01,2020,4,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-04-01,2020,4,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-04-08,2020,4,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-04-08,2020,4,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-04-08,2020,4,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-04-08,2020,4,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-04-08,2020,4,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-04-15,2020,4,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-04-15,2020,4,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-04-15,2020,4,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-04-15,2020,4,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-04-15,2020,4,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-04-22,2020,4,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-04-22,2020,4,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-04-22,2020,4,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-04-22,2020,4,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-04-22,2020,4,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-05-01,2020,5,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-05-01,2020,5,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-05-01,2020,5,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-05-01,2020,5,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-05-01,2020,5,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-05-08,2020,5,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-05-08,2020,5,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-05-08,2020,5,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-05-08,2020,5,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-05-08,2020,5,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-05-15,2020,5,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-05-15,2020,5,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-05-15,2020,5,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-05-15,2020,5,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-05-15,2020,5,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-05-22,2020,5,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-05-22,2020,5,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-05-22,2020,5,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-05-22,2020,5,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-05-22,2020,5,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-06-01,2020,6,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-06-01,2020,6,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-06-01,2020,6,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-06-01,2020,6,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-06-01,2020,6,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-06-08,2020,6,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-06-08,2020,6,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-06-08,2020,6,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-06-08,2020,6,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-06-08,2020,6,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-06-15,2020,6,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-06-15,2020,6,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-06-15,2020,6,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-06-15,2020,6,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-06-15,2020,6,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-06-22,2020,6,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-06-22,2020,6,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-06-22,2020,6,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-06-22,2020,6,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-06-22,2020,6,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-07-01,2020,7,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-07-01,2020,7,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-07-01,2020,7,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-07-01,2020,7,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-07-01,2020,7,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-07-08,2020,7,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-07-08,2020,7,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-07-08,2020,7,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-07-08,2020,7,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-07-08,2020,7,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-07-15,2020,7,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-07-15,2020,7,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-07-15,2020,7,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-07-15,2020,7,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-07-15,2020,7,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-07-22,2020,7,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-07-22,2020,7,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-07-22,2020,7,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-07-22,2020,7,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-07-22,2020,7,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-08-01,2020,8,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-08-01,2020,8,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-08-01,2020,8,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-08-01,2020,8,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-08-01,2020,8,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-08-08,2020,8,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-08-08,2020,8,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-08-08,2020,8,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-08-08,2020,8,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-08-08,2020,8,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-08-15,2020,8,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-08-15,2020,8,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-08-15,2020,8,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-08-15,2020,8,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-08-15,2020,8,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-08-22,2020,8,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-08-22,2020,8,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-08-22,2020,8,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-08-22,2020,8,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-08-22,2020,8,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-09-01,2020,9,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-09-01,2020,9,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-09-01,2020,9,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-09-01,2020,9,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-09-01,2020,9,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-09-08,2020,9,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-09-08,2020,9,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-09-08,2020,9,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-09-08,2020,9,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-09-08,2020,9,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-09-15,2020,9,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-09-15,2020,9,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-09-15,2020,9,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-09-15,2020,9,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-09-15,2020,9,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-09-22,2020,9,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-09-22,2020,9,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-09-22,2020,9,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-09-22,2020,9,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-09-22,2020,9,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-10-01,2020,10,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-10-01,2020,10,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-10-01,2020,10,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-10-01,2020,10,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-10-01,2020,10,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-10-08,2020,10,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-10-08,2020,10,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-10-08,2020,10,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-10-08,2020,10,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-10-08,2020,10,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-10-15,2020,10,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-10-15,2020,10,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-10-15,2020,10,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-10-15,2020,10,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-10-15,2020,10,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-10-22,2020,10,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-10-22,2020,10,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-10-22,2020,10,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-10-22,2020,10,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-10-22,2020,10,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-11-01,2020,11,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-11-01,2020,11,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-11-01,2020,11,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-11-01,2020,11,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-11-01,2020,11,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-11-08,2020,11,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-11-08,2020,11,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-11-08,2020,11,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-11-08,2020,11,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-11-08,2020,11,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-11-15,2020,11,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-11-15,2020,11,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-11-15,2020,11,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-11-15,2020,11,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-11-15,2020,11,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-11-22,2020,11,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2020-11-22,2020,11,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2020-11-22,2020,11,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2020-11-22,2020,11,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2020-11-22,2020,11,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2020-12-01,2020,12,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,1,0,85
2020-12-01,2020,12,TBLBMWX32018,BMW_X3_2018,Verdichter_1,1,0,70
2020-12-01,2020,12,TBLBMWX32018,BMW_X3_2018,Dichtung_1,1,0,45
2020-12-01,2020,12,TBLBMWX32018,BMW_X3_2018,Welle_1,1,0,75
2020-12-01,2020,12,TBLBMWX32018,BMW_X3_2018,Ventil_1,1,0,65
2020-12-08,2020,12,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,1,0,85
2020-12-08,2020,12,TBLBMWX32018,BMW_X3_2018,Verdichter_1,1,0,70
2020-12-08,2020,12,TBLBMWX32018,BMW_X3_2018,Dichtung_1,1,0,45
2020-12-08,2020,12,TBLBMWX32018,BMW_X3_2018,Welle_1,1,0,75
2020-12-08,2020,12,TBLBMWX32018,BMW_X3_2018,Ventil_1,1,0,65
2020-12-15,2020,12,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,1,0,85
2020-12-15,2020,12,TBLBMWX32018,BMW_X3_2018,Verdichter_1,1,0,70
2020-12-15,2020,12,TBLBMWX32018,BMW_X3_2018,Dichtung_1,1,0,45
2020-12-15,2020,12,TBLBMWX32018,BMW_X3_2018,Welle_1,1,0,75
2020-12-15,2020,12,TBLBMWX32018,BMW_X3_2018,Ventil_1,1,0,65
2020-12-22,2020,12,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,1,0,85
2020-12-22,2020,12,TBLBMWX32018,BMW_X3_2018,Verdichter_1,1,0,70
2020-12-22,2020,12,TBLBMWX32018,BMW_X3_2018,Dichtung_1,1,0,45
2020-12-22,2020,12,TBLBMWX32018,BMW_X3_2018,Welle_1,1,0,75
2020-12-22,2020,12,TBLBMWX32018,BMW_X3_2018,Ventil_1,1,0,65
2021-01-01,2021,1,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2021-01-01,2021,1,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2021-01-01,2021,1,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2021-01-01,2021,1,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2021-01-01,2021,1,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2021-01-08,2021,1,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2021-01-08,2021,1,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2021-01-08,2021,1,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2021-01-08,2021,1,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2021-01-08,2021,1,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2021-01-15,2021,1,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2021-01-15,2021,1,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2021-01-15,2021,1,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2021-01-15,2021,1,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2021-01-15,2021,1,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2021-01-22,2021,1,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2021-01-22,2021,1,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2021-01-22,2021,1,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2021-01-22,2021,1,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2021-01-22,2021,1,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2021-02-01,2021,2,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2021-02-01,2021,2,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2021-02-01,2021,2,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
